     	!    	!=    	&&    	(    	)    	*    	+    	,    	-    	.    	/    	;    	<    	<=    	=    	==    	>    	>=    	FLOAT  	ID    	INT   	[    	]    	else   	float  	if    	int   	num   	or    	return  	struct  	while  	{    	||    	}    	#    	AND   	ASSIGNOP 	Args   	COMMA  	CompSt  	DIV   	DOT   	Dec   	DecList 	Def   	DefList 	ELSE   	Exp   	ExtDecList	ExtDef  	ExtDefList	FunDec  	IF    	LB    	LC    	LP    	MINUS  	NOT   	OR    	OptTag  	PLUS   	ParamDec 	Program 	RB    	RC    	RELOP  	RETURN  	RP    	SEMI   	STAR   	STRUCT  	Specifier	Stmt   	StmtList 	StructSpecifier	TYPE   	Tag   	VarDec  	VarList 	WHILE  
0    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s387   	      	s386   	      	      	      	s329   	      	      	      	      	r3    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	3    	2    	      	      	      	      	      	      	      	      	      	      	      	1    	      	      	      	      	      	      	      	388   	5    	      	      	385   	384   	      	      	      	      	
1    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	acc   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
2    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r1    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
3    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s387   	      	s386   	      	      	      	s329   	      	      	      	      	r3    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	3    	4    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	388   	5    	      	      	385   	384   	      	      	      	      	
4    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r2    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
5    	      	      	      	      	      	      	      	      	      	      	      	s8    	      	      	      	      	      	      	      	s366   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	6    	      	      	10    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	9    	      	      	      	      	      	      	      	      	358   	      	      	
6    	      	      	      	      	      	      	      	      	      	      	      	s8    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	7    	      	      	      	      	      	      	      	      	      	      	      	
7    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r4    	      	r4    	      	      	      	r4    	      	      	      	      	r4    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
8    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r59   	      	r59   	      	      	      	r59   	      	      	      	      	r59   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
9    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r5    	      	r5    	      	      	      	r5    	      	      	      	      	r5    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
