     	!=    	(    	)    	*    	+    	,    	-    	;    	<    	<=    	=    	==    	>    	>=    	[    	]    	and   	call   	digit  	do    	else   	false  	id    	if    integer 	not   	num   	or    	proc   	real   record  	then   	true   	while  	#    	B    	C    	D    	E    	Elist  	L    	P    	P'    	S    	S1    	S2    	T    	X    	relop  
0    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s434   	      	      	      	      	s416   	s463   	s402   	      	      	      	s4    	s403   	s342   	      	      	s430   	      	      	      	2    	      	      	420   	1    	      	414   	      	      	411   	336   	      	
1    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	acc   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
2    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s402   	      	      	      	s4    	s403   	s342   	      	      	      	r1    	      	      	3    	      	      	      	      	      	      	      	      	411   	336   	      	
3    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s402   	      	      	      	s4    	s403   	s342   	      	      	      	r4    	      	      	3    	      	      	      	      	      	      	      	      	411   	336   	      	
4    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s5    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
5    	      	      	      	      	      	      	      	s6    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
6    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s402   	      	      	      	s280   	s403   	s342   	      	      	      	      	      	      	7    	      	      	      	      	      	      	      	      	333   	336   	      	
7    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s407   	s402   	      	      	      	s280   	s403   	s342   	      	      	s84   	      	      	      	279   	      	      	71    	      	      	8    	      	      	333   	336   	      	
8    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s78   	r5    	      	      	      	r5    	r5    	r5    	      	      	s84   	r5    	      	      	      	      	      	71    	      	      	9    	      	      	      	      	      	
9    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s88   	      	      	      	      	s10   	s78   	r3    	      	      	      	r3    	r3    	r3    	      	      	s84   	r3    	      	      	      	      	      	71    	      	      	9    	      	      	      	      	      	
10    	      	      	      	      	      	      	      	      	      	      	s11   	      	      	      	s68   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
11    	      	s20   	      	      	      	      	s18   	      	      	      	      	      	      	      	      	      	      	      	s63   	      	      	      	s59   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	12    	      	64    	      	      	      	      	      	      	      	      	
12    	      	      	      	s16   	s14   	      	      	s13   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
13    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r13   	      	      	      	      	r13   	r13   	r13   	      	      	      	r13   	r13   	r13   	      	      	r13   	r13   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
14    	      	s20   	      	      	      	      	s18   	      	      	      	      	      	      	      	      	      	      	      	s63   	      	      	      	s59   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	15    	      	64    	      	      	      	      	      	      	      	      	
15    	      	      	      	s16   	s14   	      	      	r15   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
16    	      	s20   	      	      	      	      	s18   	      	      	      	      	      	      	      	      	      	      	      	s63   	      	      	      	s59   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	17    	      	64    	      	      	      	      	      	      	      	      	
17    	      	      	      	s16   	s14   	      	      	r16   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
18    	      	s20   	      	      	      	      	s18   	      	      	      	      	      	      	      	      	      	      	      	s63   	      	      	      	s59   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	19    	      	64    	      	      	      	      	      	      	      	      	
19    	      	      	      	s16   	s14   	      	      	r17   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
20    	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	21    	      	46    	      	      	      	      	      	      	      	      	
21    	      	      	s22   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
22    	      	      	      	r18   	r18   	      	      	r18   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
23    	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	24    	      	46    	      	      	      	      	      	      	      	      	
24    	      	      	r15   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
25    	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	26    	      	46    	      	      	      	      	      	      	      	      	
26    	      	      	r16   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
27    	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	28    	      	46    	      	      	      	      	      	      	      	      	
28    	      	      	r17   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
29    	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	30    	      	46    	      	      	      	      	      	      	      	      	
30    	      	      	s31   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
31    	      	      	r18   	r18   	r18   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
32    	      	      	r19   	r19   	r19   	      	      	      	      	      	      	      	      	      	s33   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
33    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	34    	      	55    	      	      	      	      	      	      	      	      	
34    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s35   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
35    	      	      	r22   	r22   	r22   	      	      	      	      	      	      	      	      	      	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
36    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	37    	      	55    	      	      	      	      	      	      	      	      	
37    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	r15   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
38    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	39    	      	55    	      	      	      	      	      	      	      	      	
39    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	r16   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
40    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	41    	      	55    	      	      	      	      	      	      	      	      	
41    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	r17   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
42    	      	s29   	      	      	      	      	s27   	      	      	      	      	      	      	      	      	      	      	      	s45   	      	      	      	s32   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	43    	      	46    	      	      	      	      	      	      	      	      	
43    	      	      	s44   	s25   	s23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
44    	      	      	      	r18   	r18   	      	      	      	      	      	      	      	      	      	      	r18   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
45    	      	      	r20   	r20   	r20   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
46    	      	      	r21   	r21   	r21   	      	      	      	      	      	      	      	      	      	s47   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
47    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	48    	      	55    	      	      	      	      	      	      	      	      	
48    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s49   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
49    	      	      	r23   	r23   	r23   	      	      	      	      	      	      	      	      	      	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
50    	      	      	      	r19   	r19   	      	      	      	      	      	      	      	      	      	s51   	r19   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
51    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	52    	      	55    	      	      	      	      	      	      	      	      	
52    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s53   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
53    	      	      	      	r22   	r22   	      	      	      	      	      	      	      	      	      	r22   	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
54    	      	      	      	r20   	r20   	      	      	      	      	      	      	      	      	      	      	r20   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
55    	      	      	      	r21   	r21   	      	      	      	      	      	      	      	      	      	s56   	r21   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
56    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	57    	      	55    	      	      	      	      	      	      	      	      	
57    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s58   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
58    	      	      	      	r23   	r23   	      	      	      	      	      	      	      	      	      	r23   	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
59    	      	      	      	r19   	r19   	      	      	r19   	      	      	      	      	      	      	s60   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
60    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	61    	      	55    	      	      	      	      	      	      	      	      	
61    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s62   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
62    	      	      	      	r22   	r22   	      	      	r22   	      	      	      	      	      	      	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
63    	      	      	      	r20   	r20   	      	      	r20   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
64    	      	      	      	r21   	r21   	      	      	r21   	      	      	      	      	      	      	s65   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
65    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	66    	      	55    	      	      	      	      	      	      	      	      	
66    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s67   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
67    	      	      	      	r23   	r23   	      	      	r23   	      	      	      	      	      	      	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
68    	      	s42   	      	      	      	      	s40   	      	      	      	      	      	      	      	      	      	      	      	s54   	      	      	      	s50   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	69    	      	55    	      	      	      	      	      	      	      	      	
69    	      	      	      	s38   	s36   	      	      	      	      	      	      	      	      	      	      	s70   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
70    	      	      	      	      	      	      	      	      	      	      	r22   	      	      	      	r22   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
